경로	HTTP메서드	컨트롤러:라인	접촉 테이블(전수)	신규PG 부재 테이블 교차	판정
/api/v1/post-reply-ai-recommend	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/postReplyAiRecommend/controller/PostReplyAiRecommendController.kt:16	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/post-word	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/postWord/controller/PostWordController.kt:18	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/team	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:26	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/public/hospitals	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/publicSeo/controller/PublicHospitalController.kt:15	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/auth	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/auth/api/controller/AuthController.kt:16	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/otp	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/auth/api/controller/OtpController.kt:14	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/event-scheduler	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/eventScheduler/controller/EventSchedulerController.kt:16	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/kafka	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/kafka/controller/KafkaController.kt:18	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/jwt	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/security/JwtController.kt:17	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/health	-	module-core/core-common/src/main/kotlin/legalcare/medilawyer/common/health/HealthCheck.kt:8	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/internal/admin/web	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalAdminWebController.kt:23	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/internal/crawling/review-boost	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalCrawlingReviewBoostController.kt:17	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/internal/product/review-boost	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalProductReviewBoostController.kt:10	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/internal/reviewed	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalReviewedHospitalController.kt:23	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
